program_id,district,program_type,target_group,start_date,participants,budget,completion_rate,satisfaction
P0434,central,science,elementary,2025-07-01,32,1466601,0.63,4.2
P0435,central,coding,high,2025-12-04,34,2844846,1.0,4.3
P0436,west,math,middle,2025-05-02,24,1141723,0.7,3.9
P0437,west,coding,high,2025-12-13,29,1853039,0.63,3.6
P0438,north,art,elementary,2025-11-12,33,2180563,0.84,3.7
P0439,south,coding,elementary,2025-05-26,42,3338055,0.87,3.7
P0440,north,science,middle,2025-01-10,38,2827620,0.86,4.2
P0441,south,coding,middle,2025-05-03,23,1407397,0.62,4.5
P0442,east,reading,middle,2025-02-18,19,1117497,0.79,3.5
P0443,south,art,high,2025-06-16,8,516554,0.6,3.4
P0444,north,coding,elementary,2025-11-11,31,2569964,0.95,4.8
P0445,west,math,elementary,2025-03-25,29,2369306,0.71,3.6
P0446,north,reading,elementary,2025-09-26,20,1101115,0.74,4.0
P0447,central,coding,elementary,2025-08-18,28,1022434,0.84,5.0
P0448,east,reading,middle,2025-12-04,21,1596030,0.84,3.1
P0449,west,math,elementary,2025-08-02,16,772056,0.62,3.6
P0450,east,art,elementary,2025-08-01,29,1346823,0.74,3.7
P0451,south,math,high,2025-02-13,22,1275398,0.89,3.8
P0452,north,reading,high,2025-09-04,29,1493707,0.75,4.1
P0453,central,art,high,2025-06-18,29,1394880,0.89,4.4
P0454,east,coding,elementary,2025-09-20,40,1625553,0.66,3.6
P0455,east,art,high,2025-07-28,22,939189,0.83,4.0
P0456,west,math,high,2025-02-02,16,961113,0.9,4.1
P0457,west,math,middle,2025-08-22,24,1509147,0.64,4.1
P0458,north,math,high,2025-01-22,17,833197,0.54,2.7
P0459,west,science,elementary,2025-04-01,34,2857797,0.73,3.6
P0460,south,coding,high,2025-11-13,38,1922267,0.87,3.9
P0461,south,science,high,2025-09-06,19,1229871,0.75,3.7
P0462,south,coding,middle,2025-07-21,41,1626607,0.81,4.2
P0463,north,coding,elementary,2025-06-18,31,1805114,0.85,3.9
P0464,south,reading,high,2025-07-26,32,2082846,0.84,4.2
P0465,north,reading,middle,2025-09-18,14,784347,0.85,4.0
P0466,south,art,high,2025-06-06,31,1215673,0.71,3.7
P0467,south,reading,middle,2025-09-06,20,1075718,0.78,3.7
P0468,north,art,high,2025-04-27,14,1188126,0.75,4.1
P0469,central,reading,middle,2025-10-14,37,2552229,0.98,3.7
P0470,central,art,high,2025-08-23,11,619111,0.84,3.7
P0471,central,math,elementary,2025-01-11,11,634058,0.71,4.3
P0472,east,science,high,2025-01-24,41,2413729,0.86,3.1
P0473,south,math,middle,2025-05-24,34,1580947,0.68,3.7
P0474,north,math,high,2025-12-16,19,778999,0.71,3.2
P0475,south,art,high,2025-06-08,30,2044954,0.85,4.0
P0476,west,art,elementary,2025-04-17,20,724238,0.74,3.9
P0477,central,math,elementary,2025-09-22,23,1438844,0.62,4.3
P0478,east,reading,middle,2025-02-11,25,1840013,0.78,3.7
P0479,north,coding,elementary,2025-08-17,22,1235586,0.77,4.2
P0480,central,science,elementary,2025-10-22,23,1022958,0.78,4.0
P0481,north,coding,high,2025-04-08,31,2237817,0.68,4.2
P0482,north,art,high,2025-03-15,30,1604004,0.87,4.1
P0483,north,math,middle,2025-10-07,28,1839110,0.71,2.9
P0484,central,reading,middle,2025-01-18,13,647753,0.77,4.0
P0485,east,science,elementary,2025-01-19,24,1012164,0.75,4.2
P0486,east,coding,middle,2025-09-03,40,1616285,0.87,3.9
P0487,west,science,high,2025-09-01,47,3329970,0.74,3.9
P0488,south,reading,high,2025-08-21,24,1230493,0.81,3.7
P0489,central,math,high,2025-03-22,30,2332274,0.81,4.0
P0490,north,math,elementary,2025-10-09,28,1601892,0.74,3.8
P0491,west,coding,elementary,2025-07-20,22,1469259,0.82,4.3
P0492,west,coding,elementary,2025-08-09,35,2207705,0.83,3.7
P0493,west,coding,high,2025-09-19,27,1134073,0.74,4.6
P0494,central,art,high,2025-06-13,25,1273778,0.65,4.9
P0495,central,reading,high,2025-01-26,33,1262818,0.75,3.9
P0496,north,reading,elementary,2025-11-05,29,1940436,0.7,4.2
P0497,central,reading,elementary,2025-09-23,44,3657533,0.79,3.8
P0498,south,math,middle,2025-11-12,33,1574039,0.7,3.7
P0499,south,coding,elementary,2025-07-21,36,1443145,0.7,4.7
P0500,north,coding,middle,2025-02-22,40,3247108,0.75,3.8
P0501,east,art,elementary,2025-02-05,22,1410194,0.8,4.3
P0502,west,coding,high,2025-12-13,26,1004219,0.79,4.2
P0503,west,science,high,2025-03-09,32,2202145,0.73,3.9
P0504,east,coding,elementary,2025-03-08,37,2138364,0.81,3.7
P0505,central,math,middle,2025-01-02,21,857856,0.84,3.0
P0506,south,coding,high,2025-12-06,40,3167544,0.69,3.6
P0507,east,math,middle,2025-05-04,8,354097,0.73,4.4
P0508,west,coding,middle,2025-02-20,25,1730232,0.74,5.0
P0509,south,art,elementary,2025-03-12,16,1004917,0.93,3.7
P0510,north,math,elementary,2025-06-04,24,1726456,0.98,3.3
P0511,east,math,middle,2025-06-06,35,1282609,0.82,3.2
P0512,south,science,high,2025-07-03,34,2478318,0.86,3.4
P0513,east,math,high,2025-06-09,31,1926087,0.77,4.0
P0514,central,art,high,2025-02-19,27,1088004,0.89,3.7
P0515,south,science,high,2025-10-18,26,1294000,0.75,3.9
P0516,north,reading,middle,2025-01-24,35,1890206,0.84,4.0
P0517,west,coding,middle,2025-09-19,31,1177799,0.81,4.6
P0518,north,science,middle,2025-02-03,47,3889054,0.68,4.3
P0519,central,math,middle,2025-12-17,31,2268851,0.74,4.1
P0520,east,coding,elementary,2025-07-19,33,2393003,0.71,4.8
P0521,south,reading,high,2025-09-20,41,2984792,0.84,4.2
P0522,east,science,high,2025-03-20,44,2020182,0.86,4.2
P0523,central,coding,middle,2025-03-05,37,2202478,0.81,4.2
P0524,west,reading,elementary,2025-03-25,25,1419042,0.95,5.0
P0525,north,math,middle,2025-08-16,38,3127753,0.81,3.9
P0526,north,reading,middle,2025-06-17,25,1623061,0.74,4.4
P0527,west,math,elementary,2025-06-20,25,1786509,0.77,3.8
P0528,south,art,high,2025-09-16,19,849853,0.88,4.4
P0529,south,science,high,2025-11-09,37,1426701,0.73,3.9
P0530,central,coding,elementary,2025-02-22,25,1450497,0.7,4.2
P0531,east,coding,elementary,2025-03-05,34,1230583,0.63,4.1
P0532,east,science,elementary,2025-10-27,49,3756311,0.66,2.7
P0533,south,art,high,2025-06-03,26,964168,0.93,3.4
P0534,east,art,high,2025-06-13,33,2414147,0.8,4.4
P0535,north,math,middle,2025-05-16,25,1709153,0.69,3.6
P0536,west,coding,middle,2025-02-22,40,3100583,0.74,4.6
P0537,west,art,middle,2025-02-21,28,1893676,0.72,4.0
P0538,west,coding,high,2025-01-06,44,2414326,0.74,3.4
P0539,south,science,elementary,2025-04-25,45,3523312,0.67,3.4
P0540,west,art,high,2025-03-16,23,1381533,0.82,4.6
P0541,east,art,high,2025-09-04,23,1481275,0.74,4.1
P0542,east,math,elementary,2025-07-04,10,827843,0.88,4.8
P0543,central,reading,elementary,2025-01-07,19,1351126,0.88,3.3
P0544,south,science,high,2025-07-26,27,1942605,0.77,3.9
P0545,west,art,middle,2025-05-02,27,1218630,0.76,3.7
P0546,central,science,middle,2025-03-04,41,3294657,0.7,4.2
P0547,south,art,high,2025-10-10,30,2248702,0.67,3.5
P0548,central,coding,middle,2025-10-26,32,2173782,0.71,4.6
P0549,east,art,middle,2025-09-14,40,2715758,0.68,3.7
P0550,east,art,high,2025-02-02,8,561854,0.92,4.7
P0551,south,math,elementary,2025-10-06,15,924117,0.78,4.4
P0552,north,coding,elementary,2025-02-04,42,3469829,0.78,4.5
P0553,west,art,high,2025-12-18,28,1316110,0.84,3.7
P0554,south,coding,elementary,2025-01-11,19,1592296,0.74,4.0
P0555,central,science,middle,2025-04-10,28,1012253,0.91,3.9
P0556,west,reading,middle,2025-11-18,32,1750425,0.82,3.8
P0557,north,math,high,2025-08-25,22,1021139,0.61,4.4
P0558,west,art,elementary,2025-09-18,29,2060334,0.81,3.7
P0559,central,coding,elementary,2025-04-27,19,1458684,0.76,4.3
P0560,north,math,middle,2025-04-01,31,1248019,0.67,3.8
P0561,north,science,high,2025-10-12,33,1420216,0.82,4.5
P0562,north,reading,high,2025-09-25,29,1214080,0.72,4.0
P0563,west,art,elementary,2025-02-12,34,1641960,0.75,3.7
P0564,north,math,elementary,2025-02-17,34,1443094,0.73,4.7
P0565,north,reading,high,2025-07-10,28,1823870,0.9,3.7
P0566,north,math,middle,2025-06-02,15,1146574,0.71,3.7
P0567,south,art,middle,2025-01-07,35,1706450,0.84,3.6
P0568,south,art,elementary,2025-09-19,23,991204,0.7,4.2
P0569,east,math,middle,2025-08-16,36,2200740,0.47,3.3
P0570,south,math,elementary,2025-02-06,24,1961534,0.66,3.8
P0571,south,math,elementary,2025-05-04,25,1705775,0.67,3.9
P0572,west,science,high,2025-12-18,34,2101522,0.86,4.1
P0573,central,coding,elementary,2025-09-22,40,2518253,0.8,4.5
P0574,east,art,elementary,2025-02-14,33,1733492,0.84,4.0
P0575,north,math,elementary,2025-02-27,26,980767,0.68,3.6
P0576,central,art,high,2025-12-22,28,2327628,1.0,4.3
P0577,east,art,high,2025-06-05,21,1685345,0.79,4.1
P0578,west,science,high,2025-04-13,44,1695059,0.61,3.9
P0579,central,art,high,2025-11-13,24,890349,0.65,3.9
P0580,west,reading,high,2025-06-04,30,1545722,0.59,4.7
P0581,south,coding,elementary,2025-10-26,18,726661,0.73,3.9
P0582,north,math,high,2025-05-15,23,1573497,0.72,3.2
P0583,east,reading,elementary,2025-04-14,24,2015841,0.81,3.4
P0584,central,science,elementary,2025-02-20,23,933260,0.62,3.8
P0585,south,math,middle,2025-04-23,32,1635510,0.73,3.2
P0586,north,art,elementary,2025-04-11,25,1729185,0.83,4.0
P0587,central,math,elementary,2025-09-16,32,2245963,0.69,3.8
P0588,north,science,high,2025-11-12,35,1487604,0.72,4.1
P0589,central,art,middle,2025-10-23,29,1957763,0.94,3.1
P0590,central,coding,elementary,2025-12-14,17,867509,0.72,3.9
P0591,east,reading,elementary,2025-04-17,14,625776,0.85,4.1
P0592,central,science,high,2025-08-21,47,2882061,0.7,3.6
P0593,east,math,high,2025-12-07,25,1940768,0.77,4.7
P0594,east,reading,high,2025-03-01,25,1355597,0.99,3.6
P0595,central,math,high,2025-02-03,34,2469228,0.76,3.6
P0596,east,coding,middle,2025-06-20,33,1806633,0.87,4.4
P0597,central,art,middle,2025-09-04,37,2538060,0.85,4.1
P0598,north,coding,middle,2025-02-18,17,1347393,0.7,4.1
P0599,central,art,elementary,2025-03-24,21,1686300,0.93,3.3
P0600,west,reading,middle,2025-05-02,11,616277,0.73,3.1
P0601,east,science,elementary,2025-05-08,35,2549249,0.8,3.3
P0602,south,art,elementary,2025-08-14,23,1192301,0.64,3.8
P0603,east,reading,high,2025-05-24,33,2684782,0.87,4.1
P0604,west,reading,elementary,2025-07-24,20,1505324,0.91,3.6
P0605,north,science,elementary,2025-09-09,39,1807075,0.8,3.4
P0606,east,art,elementary,2025-06-25,35,2822626,0.85,4.1
P0607,south,art,middle,2025-08-19,29,2368028,0.85,4.1
P0608,south,coding,elementary,2025-07-01,45,2487731,0.78,4.2
P0609,north,reading,elementary,2025-07-21,17,999532,0.77,4.0
P0610,north,art,elementary,2025-09-17,36,2043727,0.63,4.2
P0611,south,art,high,2025-09-02,26,1764340,0.69,3.7
P0612,south,math,elementary,2025-09-24,22,1781010,0.81,4.7
P0613,west,math,middle,2025-06-25,32,1151418,0.86,3.8
P0614,east,science,middle,2025-02-08,36,2222236,0.82,4.2
P0615,north,math,middle,2025-10-05,30,1912445,0.76,3.0
P0616,north,math,elementary,2025-05-11,23,1339457,0.65,3.2
P0617,east,science,middle,2025-08-22,37,2710407,0.61,3.8
P0618,central,math,elementary,2025-11-26,31,2238943,0.68,3.4
P0619,central,math,middle,2025-07-03,40,1911189,0.72,3.7
P0620,central,science,middle,2025-10-14,44,2175200,0.78,4.3
P0621,south,science,high,2025-05-22,29,2242410,0.89,3.9
P0622,central,science,high,2025-01-10,21,1009315,0.86,3.4
P0623,east,coding,middle,2025-09-03,30,2536454,0.97,4.0
P0624,west,coding,high,2025-11-12,27,1588668,0.9,3.9
P0625,central,reading,high,2025-03-13,13,986552,0.76,4.5
P0626,central,art,elementary,2025-07-28,39,1520560,0.74,3.6
P0627,east,math,high,2025-10-14,19,1412449,0.56,3.5
P0628,south,coding,middle,2025-09-06,25,1996021,0.75,4.1
P0629,central,reading,elementary,2025-07-28,27,1391683,0.76,3.4
P0630,east,art,high,2025-01-07,18,705871,0.92,3.2
P0631,central,coding,elementary,2025-10-05,37,2382842,0.69,3.6
P0632,east,art,elementary,2025-01-04,22,1817326,0.66,3.3
P0633,central,coding,elementary,2025-03-04,37,2689080,0.69,4.2
P0634,east,reading,middle,2025-01-28,36,1967050,0.84,3.3
P0635,east,math,middle,2025-03-05,34,2142426,0.6,4.5
P0636,north,math,middle,2025-03-25,9,412238,0.82,4.3
P0637,east,art,middle,2025-06-10,27,1279874,0.73,3.5
P0638,central,science,elementary,2025-04-26,29,1325533,0.7,4.1
P0639,central,art,elementary,2025-01-05,22,1808084,0.72,3.2
P0640,south,reading,high,2025-08-25,9,332667,0.78,3.7
P0641,central,science,middle,2025-08-23,35,2102865,0.84,3.5
P0642,central,coding,middle,2025-12-15,28,1132379,0.99,4.0
P0643,west,math,elementary,2025-04-12,40,2578750,0.82,3.5
P0644,east,art,high,2025-07-18,33,2592048,0.97,3.8
P0645,north,science,high,2025-07-11,26,1094111,0.61,3.5
P0646,south,coding,high,2025-06-23,39,2571110,1.0,4.2
P0647,north,coding,elementary,2025-04-07,36,2693052,0.69,3.6
P0648,south,art,middle,2025-04-25,37,2227778,0.86,4.0
P0649,central,science,high,2025-11-01,17,1014310,0.76,3.8
P0650,central,art,high,2025-12-08,29,2323901,0.76,3.8
P0651,central,art,high,2025-07-20,30,1076571,0.71,4.0
P0652,north,coding,high,2025-12-18,37,1874649,0.86,4.4
P0653,east,coding,high,2025-01-14,36,1270360,0.71,4.7
P0654,east,science,middle,2025-11-18,8,321712,0.89,4.2
P0655,central,art,middle,2025-03-05,12,543341,0.68,3.5
P0656,north,science,elementary,2025-10-11,30,1068675,0.88,3.6
P0657,central,art,elementary,2025-09-24,20,1528731,0.74,4.0
P0658,east,art,elementary,2025-08-01,31,2177600,0.74,4.0
P0659,west,math,high,2025-08-26,17,1149618,0.71,4.6
P0660,central,science,middle,2025-02-04,36,2774368,0.58,3.5
P0661,south,coding,high,2025-07-08,27,1134145,0.78,4.5
P0662,central,coding,middle,2025-11-11,32,1851354,0.69,4.5
P0663,east,art,elementary,2025-03-23,22,936586,0.73,3.3
P0664,south,math,high,2025-11-06,30,1610001,0.67,3.2
P0665,central,science,middle,2025-01-04,22,1309165,0.81,3.5
P0666,north,reading,elementary,2025-06-15,21,1550637,0.83,3.9
P0667,west,art,middle,2025-03-04,30,1852815,0.98,4.2
P0668,north,math,elementary,2025-09-13,38,1682216,0.84,3.8
P0669,east,reading,high,2025-04-20,36,2042279,0.8,3.2
P0670,central,art,middle,2025-05-18,21,1430184,0.78,4.1
P0671,east,reading,middle,2025-11-19,16,1309125,0.73,3.3
P0672,central,coding,high,2025-09-16,37,2284337,0.91,4.7
P0673,north,coding,high,2025-03-17,28,1571743,0.88,4.8
P0674,north,science,high,2025-11-10,24,1249877,0.88,4.0
P0675,south,art,middle,2025-10-20,30,2373799,0.72,3.7
P0676,south,art,middle,2025-12-27,9,727712,0.62,3.5
P0677,east,art,elementary,2025-08-08,34,2555401,0.87,3.8
P0678,south,reading,elementary,2025-04-12,32,1821319,0.88,3.1
P0679,south,coding,high,2025-12-23,23,1441114,0.79,4.2
P0680,north,art,middle,2025-01-14,37,1647756,0.93,3.4
P0681,west,art,middle,2025-11-06,18,1428815,0.7,3.1
P0682,north,coding,middle,2025-01-02,24,1991819,0.91,3.9
P0683,central,art,elementary,2025-12-03,19,1070431,0.7,4.1
P0684,north,science,high,2025-02-16,23,1516249,0.87,4.2
P0685,south,coding,high,2025-02-03,21,1469523,0.76,4.2
P0686,north,art,middle,2025-11-17,20,1378937,0.68,3.9
P0687,north,art,elementary,2025-02-09,20,1568300,0.62,4.2
P0688,east,science,elementary,2025-06-07,28,1773999,0.85,3.7
P0689,central,math,elementary,2025-12-28,28,2191077,0.65,3.6
P0690,north,science,elementary,2025-04-02,40,2077648,0.74,3.6
P0691,west,coding,high,2025-12-22,38,1717383,0.9,3.5
P0692,east,math,middle,2025-05-03,32,1379320,0.69,4.0
P0693,north,coding,elementary,2025-10-19,32,1328118,0.62,3.8
P0694,west,reading,high,2025-07-10,36,1827454,0.83,3.3
P0695,west,reading,elementary,2025-09-03,13,535090,0.76,4.1
P0696,south,math,high,2025-06-14,33,2639804,0.59,4.2
P0697,central,math,high,2025-03-28,55,3631895,0.68,4.5
P0698,central,coding,middle,2025-02-05,24,1882752,0.81,3.7
P0699,north,coding,high,2025-04-02,26,1998538,0.77,4.2
P0700,central,art,elementary,2025-10-17,23,1755925,0.77,3.2
P0701,south,science,elementary,2025-09-04,29,2449060,0.8,4.0
P0702,north,coding,middle,2025-12-20,35,1274827,0.65,4.2
P0703,west,coding,high,2025-04-20,33,2044524,0.71,4.4
P0704,north,science,middle,2025-01-17,42,1669051,0.77,3.7
P0705,east,coding,high,2025-05-01,29,1462922,0.79,4.0
P0706,central,science,middle,2025-03-28,45,3793033,0.76,3.6
P0707,central,coding,high,2025-08-03,26,1935757,0.86,3.6
P0708,central,art,elementary,2025-09-10,15,843233,0.75,4.8
P0709,east,art,middle,2025-09-18,17,1103151,0.85,3.7
P0710,west,coding,middle,2025-06-06,29,1807742,0.78,3.7
P0711,north,art,elementary,2025-06-28,24,1355416,0.57,4.0
P0712,north,coding,middle,2025-01-22,43,2306456,0.6,4.0
P0713,east,math,elementary,2025-06-11,21,1547182,0.74,3.9
P0714,east,reading,middle,2025-09-23,20,884410,0.75,4.2
P0715,east,art,elementary,2025-05-27,27,1454007,0.77,4.3
P0716,south,math,high,2025-07-11,27,1818557,0.74,4.5
P0717,east,art,middle,2025-11-22,21,1655778,0.83,3.7
P0718,central,reading,high,2025-11-23,38,3097164,0.79,3.3
P0719,north,science,high,2025-05-04,33,1949318,0.72,3.8
P0720,west,math,high,2025-02-14,29,2077740,0.68,4.3
