date,store_region,category,channel,units,revenue
2025-05-04,N,gadget,app,7,291990
2025-02-25,W,food,store,9,69091
2025-01-19,N,food,store,6,44277
2025-01-15,N,stationery,web,7,54074
2025-03-27,E,book,web,8,163288
2025-01-14,E,toy,app,4,86278
2025-03-04,E,food,web,6,43791
2025-06-13,E,toy,app,5,135838
2025-05-18,E,stationery,web,4,26913
2025-04-27,W,stationery,app,6,44761
2025-04-05,W,book,web,4,70209
2025-03-25,S,book,store,8,144561
2025-04-05,E,book,web,6,84040
2025-01-17,C,toy,web,2,56629
2025-03-21,C,food,app,5,34164
2025-04-06,S,book,store,7,142696
2025-02-08,S,gadget,app,5,256602
2025-05-08,E,food,app,6,45942
2025-02-19,S,food,store,8,55155
2025-06-24,S,stationery,app,7,47542
2025-02-19,N,gadget,app,8,343934
2025-05-10,C,toy,store,6,149906
2025-04-10,C,toy,store,8,172481
2025-05-01,E,book,app,8,131368
2025-02-04,S,book,app,6,100317
2025-01-21,S,gadget,store,6,360256
2025-05-24,W,stationery,store,4,29730
2025-04-12,S,book,app,5,71940
2025-03-15,N,toy,web,1,28386
2025-01-03,S,food,app,8,64147
2025-03-18,W,book,store,2,31937
2025-05-22,N,stationery,app,1,6857
2025-02-10,N,book,store,2,38578
2025-04-20,S,food,web,4,38459
2025-04-24,W,gadget,app,6,311325
2025-03-19,S,gadget,store,2,85804
2025-02-21,C,food,web,4,40151
2025-04-06,S,gadget,app,2,99160
2025-02-18,C,book,web,4,66874
2025-01-12,E,stationery,web,8,50992
2025-05-27,C,stationery,store,1,6756
2025-03-22,C,food,web,2,14511
2025-04-01,E,book,web,4,61197
2025-05-12,N,gadget,store,4,209444
2025-05-15,S,book,store,7,143754
2025-04-08,E,book,store,6,126307
2025-05-27,W,gadget,app,1,58978
2025-02-02,S,stationery,app,4,26100
2025-01-09,E,gadget,app,9,464428
2025-05-15,E,toy,web,8,206236
2025-06-21,E,book,store,9,190701
2025-03-18,N,book,app,7,96617
2025-04-28,N,stationery,app,5,38534
2025-02-25,N,food,store,4,41102
2025-04-09,W,stationery,app,3,22323
2025-06-23,E,gadget,web,2,102452
2025-03-07,S,toy,store,2,44920
2025-05-06,C,book,app,7,126225
2025-01-10,E,gadget,store,3,153843
2025-04-02,E,book,web,3,42046
2025-04-03,S,toy,app,8,176852
2025-05-15,W,stationery,web,9,58401
2025-04-16,E,food,web,1,8109
2025-01-18,W,toy,store,6,138300
2025-05-06,E,toy,app,1,19621
2025-05-11,S,gadget,store,4,183033
2025-05-08,N,book,store,2,39716
2025-02-22,C,gadget,store,7,377990
2025-02-03,S,food,app,6,45738
2025-02-10,E,gadget,web,1,58379
2025-03-04,S,food,app,9,94058
2025-04-03,N,stationery,app,8,63802
2025-02-18,W,food,web,9,67594
2025-03-04,N,toy,store,7,145797
2025-04-14,W,stationery,app,7,43280
2025-03-14,N,gadget,app,6,271070
2025-06-23,W,food,web,2,15054
2025-03-16,C,food,app,2,18286
2025-01-19,E,book,store,6,120317
2025-04-21,E,food,store,3,25779
2025-06-07,S,book,store,4,65273
2025-02-28,W,food,store,7,61006
2025-04-10,S,food,app,2,15259
2025-06-28,W,gadget,web,5,270472
2025-01-27,N,book,web,3,56276
2025-01-18,E,gadget,web,6,349545
2025-03-20,S,stationery,store,9,52780
2025-06-11,N,gadget,app,8,492367
2025-03-17,E,gadget,store,2,90177
2025-06-06,E,food,web,3,31217
2025-04-22,C,gadget,web,1,45452
2025-03-20,C,stationery,app,2,11007
2025-06-20,C,stationery,web,2,14771
2025-06-28,S,stationery,app,8,59870
2025-02-25,W,toy,app,6,171191
2025-04-06,E,book,store,9,161533
2025-04-21,C,gadget,web,7,414314
2025-05-09,W,book,store,5,72139
2025-06-26,S,food,app,8,69114
2025-01-12,C,food,app,8,65464
2025-02-26,S,food,web,1,10495
2025-02-03,N,stationery,web,9,49240
2025-01-23,C,toy,web,9,258888
2025-03-04,W,gadget,web,5,304380
2025-06-18,E,book,web,5,95633
2025-03-19,W,food,app,7,56036
2025-05-14,S,food,store,7,71534
2025-03-19,C,stationery,store,7,50364
2025-02-26,W,stationery,app,7,49223
2025-02-19,N,stationery,store,4,23417
2025-06-09,N,food,web,1,8343
2025-04-19,E,book,web,5,79427
2025-03-23,C,toy,web,1,24033
2025-04-12,S,stationery,store,8,47029
2025-03-05,S,gadget,store,1,62764
2025-03-04,E,toy,app,7,197999
2025-04-23,C,toy,app,8,214444
2025-05-02,S,book,web,7,113369
2025-05-16,E,stationery,app,3,19859
2025-01-14,C,book,store,2,38892
2025-06-22,W,toy,web,7,134476
2025-04-19,C,stationery,app,2,12443
2025-01-03,W,gadget,store,2,112107
2025-01-20,N,toy,app,6,118458
2025-01-10,E,gadget,store,9,374701
2025-04-20,E,toy,web,3,64628
2025-05-12,C,stationery,app,8,62299
2025-05-04,S,stationery,web,8,61454
2025-05-28,S,food,web,9,93164
2025-02-08,W,food,web,7,57079
2025-06-04,C,food,app,1,10422
2025-04-09,C,food,web,3,30407
2025-05-19,E,stationery,store,7,39103
2025-04-10,E,gadget,app,2,92640
2025-06-12,E,gadget,store,1,43403
2025-06-10,N,toy,app,9,177527
2025-03-06,S,book,web,7,116546
2025-01-12,N,food,app,4,40287
2025-06-15,S,food,app,5,53107
2025-02-14,W,gadget,app,8,419898
2025-04-28,N,stationery,app,3,23258
2025-06-26,W,book,app,4,59467
2025-01-26,E,food,web,6,46668
2025-03-18,S,food,web,3,21937
2025-05-01,E,gadget,web,8,518609
2025-05-05,N,book,web,4,60990
2025-03-03,W,food,store,6,49110
2025-06-06,N,stationery,store,5,40265
2025-06-01,E,book,web,6,121137
2025-06-24,N,toy,app,1,27076
2025-01-20,E,toy,app,5,106861
2025-02-02,N,food,store,1,9233
2025-06-09,W,food,web,1,9802
2025-05-12,S,toy,store,7,150861
2025-02-28,N,stationery,app,2,13801
2025-03-27,S,food,store,2,15169
2025-02-04,W,gadget,app,6,330343
2025-05-02,W,book,web,5,72972
2025-05-13,E,book,app,1,17248
2025-01-17,N,toy,store,3,60202
2025-01-13,W,gadget,web,3,166791
2025-03-21,W,book,store,8,126405
2025-02-11,N,book,web,6,89779
2025-03-17,W,toy,app,7,184119
2025-04-18,C,stationery,store,8,43590
