date,user_id,user_grade,action,minutes
2025-04-08,U0087,vip,review,7
2025-06-05,U0068,new,view,24
2025-01-08,U0074,vip,view,16
2025-06-17,U0030,vip,review,32
2025-03-06,U0057,new,review,43
2025-03-15,U0078,vip,view,35
2025-04-15,U0163,vip,review,28
2025-05-15,U0228,regular,purchase,28
2025-04-09,U0140,vip,review,22
2025-04-26,U0216,vip,cart,17
2025-04-10,U0051,vip,cart,42
2025-04-05,U0104,new,cart,30
2025-02-11,U0143,regular,view,25
2025-03-28,U0189,new,view,5
2025-04-22,U0092,vip,review,22
2025-03-22,U0238,new,cart,34
2025-06-23,U0154,vip,cart,2
2025-05-24,U0184,new,view,30
2025-05-14,U0229,new,cart,30
2025-04-19,U0133,vip,review,25
2025-02-08,U0131,vip,purchase,6
2025-03-20,U0092,vip,purchase,5
2025-03-26,U0124,regular,view,9
2025-05-09,U0048,new,cart,22
2025-04-20,U0140,regular,cart,13
2025-06-25,U0015,vip,view,45
2025-03-21,U0215,vip,purchase,40
2025-02-13,U0109,regular,review,16
2025-06-15,U0061,vip,review,6
2025-02-22,U0045,new,review,34
2025-01-16,U0201,new,review,43
2025-03-25,U0177,new,purchase,13
2025-01-06,U0032,regular,cart,37
2025-01-02,U0159,vip,review,12
2025-05-04,U0117,vip,review,8
2025-01-11,U0031,vip,purchase,16
2025-02-01,U0227,vip,view,43
2025-02-15,U0238,vip,review,4
2025-01-26,U0250,regular,review,41
2025-06-16,U0173,new,view,10
2025-06-06,U0153,new,review,41
2025-01-11,U0255,vip,purchase,2
2025-05-14,U0218,vip,review,42
2025-01-17,U0186,vip,cart,21
2025-06-08,U0145,vip,purchase,37
2025-06-07,U0151,regular,cart,22
2025-03-21,U0255,regular,view,19
2025-04-17,U0034,regular,view,36
2025-04-04,U0260,regular,review,11
2025-01-13,U0114,new,cart,29
2025-03-19,U0252,vip,view,8
2025-03-11,U0067,new,purchase,38
2025-06-05,U0228,vip,purchase,27
2025-02-06,U0231,vip,review,34
2025-03-21,U0135,vip,view,39
2025-06-09,U0192,new,purchase,10
2025-02-22,U0034,regular,review,28
2025-01-10,U0071,new,review,20
2025-06-21,U0120,new,cart,5
2025-04-02,U0095,vip,review,13
2025-02-25,U0119,new,review,45
2025-02-05,U0109,regular,review,10
2025-05-10,U0124,regular,cart,43
2025-05-25,U0140,new,review,32
2025-06-27,U0009,vip,cart,16
2025-02-07,U0004,vip,review,6
2025-04-25,U0111,new,review,29
2025-02-12,U0210,new,review,32
2025-05-07,U0002,new,view,42
2025-05-24,U0191,new,cart,7
2025-04-11,U0038,new,review,19
2025-05-07,U0241,new,purchase,34
2025-04-14,U0106,vip,view,32
2025-01-27,U0225,regular,review,18
2025-04-16,U0127,vip,purchase,20
2025-02-14,U0116,new,view,23
2025-05-11,U0234,new,cart,9
2025-02-21,U0198,new,review,5
2025-02-11,U0109,regular,view,31
2025-02-16,U0218,vip,cart,21
2025-02-07,U0074,vip,review,2
2025-01-25,U0253,new,review,1
2025-05-01,U0101,regular,view,12
2025-01-07,U0026,regular,review,23
2025-04-16,U0105,regular,review,10
2025-04-02,U0091,new,purchase,26
2025-03-01,U0251,vip,review,36
2025-06-07,U0084,vip,purchase,4
2025-06-13,U0084,new,review,19
2025-06-07,U0099,vip,view,27
2025-03-23,U0038,vip,view,20
2025-05-28,U0110,new,view,40
2025-05-02,U0206,vip,review,41
2025-05-11,U0084,regular,review,39
2025-02-13,U0138,vip,cart,7
2025-04-25,U0201,regular,review,22
2025-01-19,U0004,vip,cart,25
2025-01-14,U0010,new,view,10
2025-05-06,U0022,regular,review,6
2025-01-08,U0157,new,cart,41
2025-01-27,U0246,new,view,10
2025-02-28,U0174,new,purchase,40
2025-04-21,U0132,regular,review,40
2025-04-04,U0239,regular,cart,22
2025-03-13,U0099,new,purchase,25
2025-02-23,U0008,regular,review,29
2025-06-21,U0008,vip,cart,19
2025-01-03,U0119,new,review,36
2025-02-19,U0057,new,review,20
2025-06-20,U0218,new,purchase,17
2025-02-14,U0228,vip,cart,22
2025-06-11,U0211,regular,review,29
2025-05-10,U0232,new,cart,8
2025-05-20,U0143,vip,purchase,42
2025-04-15,U0239,vip,review,20
2025-03-01,U0051,regular,cart,44
2025-04-22,U0204,new,purchase,45
2025-02-10,U0170,vip,cart,32
2025-06-28,U0162,regular,view,5
2025-06-10,U0255,vip,purchase,3
2025-06-11,U0021,new,view,22
2025-01-02,U0002,new,review,7
2025-02-11,U0115,regular,view,27
2025-06-16,U0178,new,cart,35
2025-05-07,U0089,vip,review,10
2025-05-09,U0162,new,view,36
2025-05-05,U0213,new,view,32
2025-01-20,U0044,regular,review,44
2025-03-03,U0002,regular,cart,16
2025-06-10,U0159,vip,view,11
2025-04-24,U0173,regular,cart,41
2025-06-21,U0070,regular,purchase,41
2025-06-14,U0064,vip,cart,10
2025-02-24,U0153,new,view,2
2025-05-16,U0198,regular,cart,36
2025-01-22,U0183,vip,review,24
2025-06-01,U0220,vip,purchase,13
2025-01-07,U0046,vip,review,10
2025-06-06,U0074,regular,view,19
2025-03-20,U0079,regular,purchase,44
2025-01-28,U0051,vip,purchase,17
2025-01-14,U0106,new,view,34
2025-05-13,U0096,new,cart,32
2025-03-21,U0183,vip,cart,4
2025-01-04,U0094,regular,cart,3
2025-04-18,U0009,regular,view,3
2025-04-15,U0245,vip,purchase,27
2025-02-28,U0157,regular,view,39
2025-02-11,U0071,vip,review,23
2025-05-28,U0008,regular,purchase,17
2025-06-12,U0076,new,review,4
2025-06-07,U0046,new,review,32
2025-01-25,U0057,vip,view,10
2025-05-03,U0208,regular,review,13
2025-03-01,U0011,vip,purchase,9
2025-01-05,U0258,regular,cart,29
2025-01-03,U0248,regular,cart,18
2025-06-14,U0131,vip,cart,8
2025-06-28,U0216,new,cart,40
2025-06-06,U0146,regular,review,14
2025-06-20,U0026,vip,cart,7
2025-02-26,U0226,new,review,22
2025-03-15,U0128,vip,cart,10
2025-02-21,U0148,regular,purchase,21
2025-05-17,U0161,vip,review,2
2025-04-04,U0256,new,review,35
2025-05-04,U0076,vip,purchase,28
2025-05-24,U0256,regular,view,15
2025-06-25,U0123,new,view,8
2025-06-05,U0169,vip,cart,8
2025-04-15,U0186,vip,purchase,39
2025-01-20,U0113,regular,purchase,20
2025-06-01,U0089,vip,cart,22
2025-03-16,U0043,vip,cart,31
2025-04-11,U0007,vip,review,11
2025-06-08,U0199,new,purchase,10
2025-01-18,U0159,new,purchase,30
2025-06-26,U0123,new,review,10
2025-02-13,U0113,vip,review,15
2025-04-03,U0156,vip,purchase,1
2025-03-06,U0060,regular,view,44
2025-02-02,U0121,new,cart,28
2025-05-11,U0044,new,purchase,1
2025-06-08,U0059,new,review,29
2025-01-03,U0153,new,purchase,36
2025-02-23,U0260,vip,view,34
2025-02-28,U0225,vip,purchase,26
2025-03-27,U0182,regular,view,2
2025-03-05,U0240,new,cart,17
2025-05-04,U0137,vip,cart,7
2025-01-14,U0027,vip,cart,43
2025-05-09,U0082,new,review,42
2025-04-13,U0129,regular,purchase,40
2025-04-20,U0251,vip,purchase,43
2025-05-04,U0110,regular,cart,23
2025-04-07,U0238,regular,purchase,15
2025-03-26,U0136,regular,view,32
2025-05-09,U0021,regular,purchase,32
2025-04-07,U0013,new,cart,8
2025-06-13,U0204,regular,cart,6
2025-04-01,U0021,regular,cart,12
2025-04-18,U0165,new,purchase,37
2025-03-14,U0139,vip,review,25
2025-05-26,U0018,new,purchase,13
2025-03-21,U0144,new,purchase,8
2025-02-06,U0226,regular,view,14
2025-04-13,U0180,regular,purchase,22
2025-04-02,U0167,new,review,25
2025-02-13,U0190,new,cart,7
2025-01-13,U0087,vip,view,44
2025-03-26,U0163,vip,review,9
2025-03-07,U0047,regular,review,9
2025-02-11,U0205,new,purchase,10
2025-01-21,U0189,regular,review,32
2025-05-19,U0148,regular,cart,11
2025-02-19,U0150,new,view,38
2025-02-15,U0074,vip,cart,3
2025-06-15,U0035,regular,cart,36
2025-03-07,U0095,new,review,30
2025-06-09,U0117,new,view,20
2025-03-06,U0112,regular,cart,34
2025-05-25,U0222,vip,purchase,2
2025-06-10,U0244,vip,cart,39
2025-02-26,U0227,vip,purchase,25
2025-02-11,U0176,regular,cart,13
2025-04-05,U0174,regular,view,33
2025-01-15,U0235,vip,view,7
2025-03-27,U0236,vip,purchase,17
2025-05-22,U0025,vip,view,39
2025-04-07,U0003,new,cart,10
2025-03-21,U0051,vip,purchase,11
2025-05-12,U0013,new,view,19
2025-06-04,U0017,regular,review,5
2025-02-06,U0137,new,purchase,18
2025-06-19,U0135,new,purchase,4
2025-01-28,U0198,regular,review,36
2025-05-13,U0258,new,review,23
2025-03-14,U0028,new,view,31
2025-01-23,U0152,new,cart,14
2025-01-20,U0141,regular,review,24
2025-05-15,U0078,new,review,22
2025-05-28,U0249,vip,cart,15
2025-03-08,U0066,regular,review,15
